name,lat,lon,total,dates,charges,countries,gang
"Oxford, WI",43.7813653,-89.572636,207,01/22/25 - 05/15/26,"Arson, Assault, Burglary, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Kidnapping, Larceny, Obscenity, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Threat, Traffic Offenses, Weapon Offenses","BAHAMAS, BELIZE, BRITISH VIRGIN ISLANDS, CANADA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, COSTA RICA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, JAMAICA, MEXICO, MONTENEGRO, NIGERIA, PERU, ROMANIA, URUGUAY, VENEZUELA, VIETNAM",✅
"Ft Lauderdale, FL",26.1223084,-80.14337864,190,01/22/25 - 05/20/26,"Assault, Burglary, Damage Property, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Immigration, Invasion of Privacy, Kidnapping, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses, Weapon Offenses","ARGENTINA, BAHAMAS, BRAZIL, CANADA, CHILE, COLOMBIA, CUBA, ECUADOR, EL SALVADOR, FRANCE, GHANA, GUATEMALA, HAITI, HONDURAS, HUNGARY, ISRAEL, JAMAICA, MEXICO, MOROCCO, NICARAGUA, PERU, PORTUGAL, RUSSIA, UGANDA, UKRAINE, USSR, VENEZUELA",✅
"Jamestown, CA",37.9588565,-120.4044312,156,05/13/25 - 05/20/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Flight / Escape, Fraudulent Activities, General Crimes, Homicide, Kidnapping, Obstructing the Police, Public Peace, Robbery, Sexual Assault, Stolen Vehicle, Threat, Traffic Offenses, Weapon Offenses","ARGENTINA, ARMENIA, CAMBODIA, CHILE, CHINA, PEOPLES REPUBLIC OF, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, ITALY, JORDAN, LAOS, MEXICO, PERU, PHILIPPINES, ROMANIA, RUSSIA, VIETNAM",✅
"Lordsburg, NM",32.3504143,-108.708434,149,07/31/25 - 02/19/26,"Assault, Dangerous Drugs, Flight / Escape, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","COLOMBIA, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, PAKISTAN, VENEZUELA",
"Butner, NC",36.1334246,-78.7579096,148,01/24/25 - 05/20/26,"Arson, Assault, Burglary, Damage Property, Dangerous Drugs, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","BAHAMAS, BELIZE, CANADA, CHINA, PEOPLES REPUBLIC OF, COLOMBIA, CUBA, DEM REP OF THE CONGO, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, JAMAICA, JORDAN, MEXICO, NIGERIA, PERU, SLOVENIA, VENEZUELA",✅
"Lisbon, OH",40.7720044,-80.7681336,144,01/20/25 - 05/13/26,"Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Immigration, Invasion of Privacy, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","CANADA, CHILE, COLOMBIA, CYPRUS, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GAMBIA, GUATEMALA, GUYANA, HAITI, HONDURAS, INDIA, JAMAICA, JORDAN, MAURITANIA, MEXICO, MOLDOVA, NICARAGUA, NIGERIA, PERU, ST. LUCIA, UNITED KINGDOM, VENEZUELA",✅
"Indian Springs, NV",36.5698965,-115.7032941,126,02/11/25 - 05/21/26,"Assault, Burglary, Damage Property, Dangerous Drugs, Fraudulent Activities, General Crimes, Homicide, Kidnapping, Larceny, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses, Weapon Offenses","BAHAMAS, CANADA, CHILE, COLOMBIA, CUBA, CZECH REPUBLIC, ECUADOR, EL SALVADOR, ERITREA, GUATEMALA, HONDURAS, LAOS, MEXICO, MICRONESIA, FEDERATED STATES OF, NETHERLANDS, PHILIPPINES, UNITED STATES",✅
"Bennettsville, SC",34.6173516,-79.684768,119,01/24/25 - 05/19/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Flight / Escape, Homicide, Immigration, Larceny, Obstructing the Police, Public Peace, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Threat, Traffic Offenses, Weapon Offenses","BAHAMAS, BOLIVIA, COLOMBIA, COSTA RICA, DEM REP OF THE CONGO, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, ETHIOPIA, GHANA, GUATEMALA, HONDURAS, JAMAICA, MEXICO, VENEZUELA",✅
"Lillington, NC",35.399121,-78.8156001,88,01/30/25 - 05/19/26,"Assault, Burglary, Conservation, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, Homicide, Immigration, Kidnapping, Larceny, Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Vehicle, Traffic Offenses, Weapon Offenses","CUBA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, RUSSIA, SYRIA, VENEZUELA",✅
"Winston-Salem, NC",36.0998131,-80.244052,84,01/26/25 - 05/19/26,"Arson, Assault, Burglary, Commercialized Sexual Offenses, Dangerous Drugs, Immigration, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, DEM REP OF THE CONGO, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HONDURAS, MARSHALL ISLANDS, MEXICO, NICARAGUA, NIGERIA, VENEZUELA",✅
